iter	Passed	Remaining
0	49	49193
1	52	26025
2	56	18690
3	59	14843
4	62	12460
5	65	10898
6	69	9798
7	72	8946
8	74	8257
9	78	7728
10	81	7296
11	86	7116
12	89	6793
13	92	6513
14	95	6260
15	98	6037
16	101	5856
17	104	5695
18	107	5543
19	110	5407
20	115	5405
21	118	5289
22	122	5187
23	125	5088
24	128	4992
25	130	4905
26	133	4826
27	137	4760
28	140	4693
29	146	4744
30	151	4729
31	154	4666
32	157	4607
33	160	4551
34	163	4498
35	166	4463
36	172	4489
37	175	4446
38	178	4405
39	182	4375
40	185	4333
41	188	4288
42	190	4249
43	193	4213
44	199	4238
45	203	4215
46	206	4187
47	209	4156
48	212	4126
49	216	4108
50	219	4081
51	224	4087
52	229	4099
53	232	4081
54	236	4055
55	238	4023
56	241	3997
57	244	3970
58	246	3935
59	251	3938
60	254	3911
61	257	3894
62	260	3876
63	263	3860
64	267	3843
65	270	3821
66	272	3801
67	275	3777
68	278	3763
69	282	3752
70	286	3745
71	289	3729
72	292	3709
73	295	3693
74	298	3678
75	301	3662
76	303	3641
77	306	3625
78	308	3601
79	313	3599
80	316	3587
81	319	3576
82	322	3564
83	325	3549
84	328	3533
85	331	3520
86	334	3508
87	337	3497
88	340	3482
89	344	3478
90	347	3475
91	351	3466
92	354	3456
93	357	3442
94	360	3433
95	362	3416
96	365	3403
97	368	3392
98	372	3386
99	375	3383
100	379	3376
101	382	3366
102	385	3355
103	388	3346
104	391	3339
105	394	3327
106	397	3320
107	400	3311
108	404	3305
109	407	3297
110	410	3290
111	413	3281
112	417	3273
113	420	3264
114	423	3256
115	426	3249
116	429	3241
117	432	3233
118	436	3234
119	440	3227
120	443	3221
121	446	3215
122	450	3208
123	453	3203
124	456	3198
125	460	3193
126	463	3188
127	468	3194
128	472	3189
129	475	3184
130	479	3177
131	482	3170
132	485	3163
133	488	3156
134	491	3151
135	495	3146
136	498	3141
137	502	3135
138	504	3127
139	508	3121
140	510	3112
141	513	3105
142	516	3098
143	520	3091
144	524	3089
145	527	3083
146	530	3078
147	533	3072
148	536	3066
149	540	3062
150	543	3057
151	546	3050
152	551	3050
153	554	3044
154	557	3038
155	560	3031
156	563	3024
157	566	3019
158	569	3014
159	573	3010
160	576	3005
161	580	3001
162	583	2997
163	586	2990
164	590	2986
165	593	2979
166	596	2973
167	599	2967
168	602	2960
169	605	2955
170	610	2958
171	614	2956
172	619	2962
173	622	2955
174	625	2949
175	628	2944
176	631	2938
177	634	2931
178	637	2925
179	642	2929
180	646	2926
181	650	2922
182	653	2915
183	655	2908
184	659	2903
185	662	2899
186	665	2894
187	668	2889
188	673	2890
189	677	2889
190	681	2887
191	684	2881
192	688	2878
193	691	2873
194	695	2872
195	700	2872
196	703	2867
197	706	2862
198	709	2856
199	712	2850
200	715	2845
201	719	2840
202	722	2834
203	726	2833
204	729	2829
205	732	2824
206	736	2820
207	739	2815
208	742	2809
209	745	2804
210	748	2798
211	751	2793
212	758	2801
213	762	2799
214	767	2800
215	770	2795
216	772	2789
217	775	2782
218	778	2776
219	783	2777
220	786	2772
221	789	2768
222	793	2763
223	796	2758
224	799	2753
225	802	2748
226	805	2743
227	809	2741
228	814	2741
229	817	2737
230	820	2732
231	823	2727
232	827	2723
233	830	2718
234	833	2713
235	837	2710
236	842	2710
237	845	2706
238	848	2701
239	851	2696
240	854	2692
241	858	2687
242	861	2683
243	866	2684
244	870	2681
245	873	2676
246	876	2673
247	879	2668
248	883	2664
249	886	2659
250	889	2654
251	893	2653
252	897	2649
253	900	2644
254	903	2640
255	906	2635
256	910	2632
257	913	2627
258	916	2622
259	920	2618
260	923	2613
261	926	2610
262	929	2605
263	933	2601
264	936	2597
265	939	2593
266	942	2588
267	946	2584
268	949	2579
269	952	2575
270	957	2574
271	961	2572
272	965	2569
273	968	2566
274	971	2561
275	974	2557
276	978	2553
277	981	2548
278	984	2543
279	989	2543
280	992	2539
281	996	2536
282	999	2531
283	1002	2527
284	1005	2522
285	1008	2517
286	1011	2512
287	1017	2515
288	1021	2512
289	1024	2508
290	1027	2504
291	1030	2499
292	1033	2494
293	1037	2491
294	1040	2486
295	1043	2481
296	1049	2484
297	1052	2480
298	1056	2475
299	1059	2471
300	1062	2466
301	1065	2461
302	1068	2457
303	1071	2452
304	1074	2449
305	1078	2446
306	1081	2442
307	1085	2437
308	1088	2433
309	1091	2429
310	1094	2425
311	1098	2421
